"nichoir";"pulenv";"echec_fledg";"pop";"an"
"AVA19";5;0;"DMuro";"2006"
"FEL5";10;0;"DMuro";"2005"
"FEL5";6;4;"DMuro";"2006"
"FEL15";8;1;"DMuro";"2005"
"FEL15";10;0;"DMuro";"2006"
"FEL15";9;0;"DMuro";"2007"
"FEL17";8;1;"DMuro";"2005"
"MUR89";8;2;"DMuro";"2005"
"MUR22";6;0;"DMuro";"2005"
"MUR24";8;1;"DMuro";"2005"
"AVA9";8;0;"DMuro";"2006"
"AVA13";9;0;"DMuro";"2005"
"MUR30";8;1;"DMuro";"2006"
"GRA6";0;7;"EMuro";"2009"
"MUR59";5;0;"DMuro";"2005"
"MUR105";9;0;"DMuro";"2006"
"MUR58";0;8;"DMuro";"2008"
"MUR27";7;1;"DMuro";"2008"
"FEL16";8;1;"DMuro";"2005"
"GRA4";3;4;"EMuro";"2005"
"MUR95";7;1;"DMuro";"2005"
"GRA5";6;1;"EMuro";"2010"
"GRA15";3;3;"EMuro";"2007"
"ARI5";0;7;"EMuro";"2007"
"PIR6";7;0;"EPirio";"2006"
"PIR85";7;0;"EPirio";"2007"
"PIR5";5;2;"EPirio";"2008"
"PIR18";6;1;"EPirio";"2006"
"FEL19";5;0;"DMuro";"2006"
"AVA14";7;0;"DMuro";"2005"
"MUR27";4;0;"DMuro";"2007"
"FEL12";9;0;"DMuro";"2007"
"MUR22";8;0;"DMuro";"2007"
"MUR22";9;0;"DMuro";"2008"
"MUR22";9;0;"DMuro";"2009"
"MUR114";6;0;"DMuro";"2007"
"MUR40";8;1;"DMuro";"2007"
"MUR101";8;0;"DMuro";"2008"
"MUR46";9;0;"DMuro";"2009"
"MUR79";11;0;"DMuro";"2005"
"MUR79";9;2;"DMuro";"2006"
"MUR25";8;0;"DMuro";"2007"
"MUR24";4;5;"DMuro";"2008"
"AVA19";9;0;"DMuro";"2004"
"AVA20";5;0;"DMuro";"2005"
"AVA10";7;0;"DMuro";"2004"
"PIR153";6;0;"EPirio";"2004"
"PIR157";7;0;"EPirio";"2005"
"PIR34";8;0;"EPirio";"2004"
"PIR29";4;1;"EPirio";"2004"
"PIR10";4;3;"EPirio";"2005"
"PIR86";6;0;"EPirio";"2007"
"PIR131";1;4;"EPirio";"2008"
"MUR59";8;0;"DMuro";"2004"
"MUR58";10;1;"DMuro";"2005"
"ARI29";5;1;"EMuro";"2007"
"ARI14";4;0;"EMuro";"2009"
"FIL15";5;1;"EMuro";"2005"
"FIL6";5;1;"EMuro";"2006"
"AVA2";7;0;"DMuro";"2004"
"MUR47";2;4;"DMuro";"2008"
"AVA11";5;0;"DMuro";"2004"
"PIR53";6;0;"EPirio";"2005"
"ARI15";3;1;"EMuro";"2008"
"ARI15";8;0;"EMuro";"2009"
"ARI15";5;1;"EMuro";"2010"
"ARI18";4;0;"EMuro";"2011"
"ARI18";1;0;"EMuro";"2012"
"GRA14";6;0;"EMuro";"2005"
"ARI16";3;0;"EMuro";"2011"
"FIL1";5;0;"EMuro";"2004"
"FIL1";5;3;"EMuro";"2005"
"FIL21";8;0;"EMuro";"2006"
"FIL6";8;0;"EMuro";"2007"
"FIL7";2;0;"EMuro";"2010"
"ARI15";7;0;"EMuro";"2005"
"FIL22";7;0;"EMuro";"2006"
"FIL4";6;0;"EMuro";"2004"
"AVA10";10;0;"DMuro";"2005"
"FIL2";9;0;"EMuro";"2005"
"FIL3";9;0;"EMuro";"2006"
"FIL2";9;0;"EMuro";"2007"
"FIL2";8;0;"EMuro";"2008"
"FIL1";8;0;"EMuro";"2009"
"FIL6";4;0;"EMuro";"2005"
"ARI3";9;0;"EMuro";"2005"
"PIR29";6;0;"EPirio";"2005"
"PIR100";6;0;"EPirio";"2005"
"PIR99";6;0;"EPirio";"2006"
"PIR98";4;0;"EPirio";"2007"
"PIR99";5;1;"EPirio";"2008"
"PIR81";6;1;"EPirio";"2005"
"PIR81";7;0;"EPirio";"2006"
"AVA13";7;0;"DMuro";"2006"
"AVA12";8;0;"DMuro";"2005"
"MUR91";2;0;"DMuro";"2005"
"AVA12";9;0;"DMuro";"2006"
"MUR112";8;0;"DMuro";"2005"
"MUR33";8;0;"DMuro";"2005"
"MUR33";6;3;"DMuro";"2006"
"MUR50";2;5;"DMuro";"2011"
"MUR39";0;10;"DMuro";"2005"
"MUR88";8;2;"DMuro";"2005"
"MUR40";8;1;"DMuro";"2006"
"MUR78";9;0;"DMuro";"2009"
"MUR89";8;1;"DMuro";"2006"
"AVA17";1;0;"DMuro";"2006"
"AVA18";9;3;"DMuro";"2007"
"AVA18";8;2;"DMuro";"2008"
"AVA17";6;1;"DMuro";"2010"
"GRA9";8;0;"EMuro";"2006"
"GRA1";7;0;"EMuro";"2007"
"PIR140";5;0;"EPirio";"2005"
"PIR7";6;0;"EPirio";"2005"
"PIR78";6;0;"EPirio";"2005"
"PIR78";4;0;"EPirio";"2006"
"PIR109";7;0;"EPirio";"2005"
"PIR104";4;0;"EPirio";"2005"
"PIR103";7;0;"EPirio";"2005"
"PIR103";0;7;"EPirio";"2006"
"PIR76";10;0;"EPirio";"2005"
"PIR77";10;0;"EPirio";"2006"
"PIR90";5;0;"EPirio";"2005"
"PIR96";4;0;"EPirio";"2006"
"PIR127";7;0;"EPirio";"2007"
"PIR129";4;1;"EPirio";"2008"
"PIR105";6;0;"EPirio";"2005"
"PIR107";6;0;"EPirio";"2006"
"PIR115";5;0;"EPirio";"2005"
"PIR118";7;0;"EPirio";"2006"
"PIR113";3;3;"EPirio";"2007"
"AVA3";7;0;"DMuro";"2007"
"GRA10";6;1;"EMuro";"2005"
"GRA14";9;0;"EMuro";"2006"
"GRA14";9;0;"EMuro";"2007"
"GRA16";6;0;"EMuro";"2005"
"GRA17";6;1;"EMuro";"2010"
"ARI20";7;0;"EMuro";"2005"
"AVA11";6;0;"DMuro";"2005"
"PIR24";8;1;"EPirio";"2005"
"PIR28";6;1;"EPirio";"2006"
"PIR9";8;0;"EPirio";"2005"
"PIR4";7;1;"EPirio";"2006"
"PIR4";1;0;"EPirio";"2007"
"FEL7";7;0;"DMuro";"2005"
"PIR125";4;0;"EPirio";"2005"
"PIR125";5;0;"EPirio";"2007"
"PIR60";7;0;"EPirio";"2005"
"PIR38";7;0;"EPirio";"2005"
"PIR121";7;0;"EPirio";"2006"
"PIR121";7;0;"EPirio";"2007"
"PIR7";3;1;"EPirio";"2007"
"PIR53";8;0;"EPirio";"2007"
"FIL3";5;0;"EMuro";"2005"
"FIL5";7;0;"EMuro";"2006"
"PIR43";5;0;"EPirio";"2005"
"PIR133";6;0;"EPirio";"2005"
"PIR133";6;0;"EPirio";"2007"
"PIR120";4;1;"EPirio";"2005"
"PIR119";7;1;"EPirio";"2006"
"PIR119";6;0;"EPirio";"2007"
"PIR45";2;3;"EPirio";"2008"
"PIR47";7;0;"EPirio";"2009"
"PIR49";7;0;"EPirio";"2010"
"PIR51";0;2;"EPirio";"2011"
"PIR33";6;0;"EPirio";"2005"
"PIR28";8;0;"EPirio";"2007"
"GRA7";9;1;"EMuro";"2006"
"GRA7";10;0;"EMuro";"2007"
"GRA15";8;0;"EMuro";"2006"
"PIR137";9;0;"EPirio";"2006"
"PIR140";3;4;"EPirio";"2007"
"PIR139";7;0;"EPirio";"2009"
"MUR45";10;0;"DMuro";"2006"
"MUR77";10;0;"DMuro";"2006"
"MUR22";8;2;"DMuro";"2006"
"MUR39";8;0;"DMuro";"2006"
"MUR31";7;0;"DMuro";"2006"
"MUR41";3;6;"DMuro";"2006"
"MUR85";10;0;"DMuro";"2006"
"MUR55";11;0;"DMuro";"2008"
"MUR25";9;1;"DMuro";"2006"
"MUR54";10;0;"DMuro";"2006"
"MUR26";8;0;"DMuro";"2007"
"MUR110";8;0;"DMuro";"2006"
"MUR56";9;0;"DMuro";"2006"
"MUR72";6;0;"DMuro";"2006"
"AVA15";9;0;"DMuro";"2007"
"AVA20";8;0;"DMuro";"2006"
"MUR95";8;0;"DMuro";"2006"
"MUR79";10;0;"DMuro";"2007"
"MUR24";5;0;"DMuro";"2006"
"MUR79";2;8;"DMuro";"2008"
"MUR44";7;1;"DMuro";"2008"
"MUR73";8;0;"DMuro";"2006"
"MUR44";8;1;"DMuro";"2009"
"MUR46";8;0;"DMuro";"2006"
"MUR30";2;8;"DMuro";"2008"
"MUR52";6;2;"DMuro";"2006"
"MUR109";8;0;"DMuro";"2007"
"AVA3";10;0;"DMuro";"2006"
"AVA7";9;0;"DMuro";"2006"
"AVA7";11;0;"DMuro";"2007"
"MUR56";12;0;"DMuro";"2007"
"MUR47";10;0;"DMuro";"2007"
"MUR45";9;0;"DMuro";"2008"
"MUR51";6;0;"DMuro";"2008"
"MUR77";6;2;"DMuro";"2008"
"MUR73";7;2;"DMuro";"2009"
"FEL7";7;0;"DMuro";"2006"
"FEL9";10;0;"DMuro";"2006"
"GRA2";9;0;"EMuro";"2006"
"GRA6";9;1;"EMuro";"2007"
"FEL17";8;0;"DMuro";"2006"
"FEL14";5;0;"DMuro";"2007"
"FIL21";0;6;"EMuro";"2009"
"PIR202";6;0;"EPirio";"2006"
"PIR108";6;2;"EPirio";"2007"
"PIR1";3;4;"EPirio";"2008"
"PIR109";7;0;"EPirio";"2009"
"PIR77";7;0;"EPirio";"2010"
